id,first_name,last_name,email,phone,date_of_birth,signup_date,country,state,city,zip_code,address,company,department,job_title,status,category,segment,score_1,score_2,score_3,metric_a,metric_b,metric_c,revenue,cost,profit,margin_pct,units_sold,discount_pct,rating,reviews_count,last_login,sessions,page_views,bounce_rate,conversion_rate,plan,is_active,is_verified,priority,region,channel,source,campaign,tags,notes,created_at,updated_at,flag
11,Liam,Smith,liam.smith11@example.com,+1-555-5088,1999-12-02,2022-04-16,JP,OR,Portland,83385,906 Main St,Company 27,Engineering,Analyst,active,A,Mid,3,22,94,0.924,0.782,0.412,45047.31,21804.28,23243.03,51.6,343,27,3.9,508,2026-07-09,41,886,40.6,0.87,enterprise,TRUE,TRUE,medium,APAC,mobile,organic,campaign_4,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,0
12,Grace,Nguyen,grace.nguyen12@example.com,+1-555-5573,1985-10-02,2023-10-19,IN,OR,Portland,62386,696 Main St,Company 35,Marketing,Manager,active,B,SMB,74,33,4,0.108,0.435,0.729,17084.84,12740.87,4343.97,25.4,161,13,3.4,1047,2026-07-04,99,4724,25.2,0.92,enterprise,TRUE,TRUE,medium,LATAM,web,referral,campaign_6,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,1
13,David,Patel,david.patel13@example.com,+1-555-6344,1988-01-19,2023-12-15,FR,OR,Portland,82667,131 Main St,Company 13,Support,Director,pending,C,SMB,78,72,38,0.406,0.834,0.304,25849.0,17235.01,8613.99,33.3,108,13,4.1,1242,2026-07-21,83,3810,45.3,6.92,enterprise,TRUE,TRUE,medium,APAC,web,organic,campaign_5,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,0
14,Grace,Garcia,grace.garcia14@example.com,+1-555-8784,1997-06-03,2024-05-20,CA,OR,Portland,69692,425 Main St,Company 41,Engineering,Director,inactive,B,SMB,18,83,88,0.006,0.751,0.77,2196.84,1093.89,1102.95,50.2,55,24,2.7,360,2026-07-26,179,4244,47.2,5.8,free,FALSE,TRUE,medium,APAC,mobile,referral,campaign_9,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,1
15,Rosa,Lopez,rosa.lopez15@example.com,+1-555-8777,1990-03-10,2022-09-23,DE,OR,Portland,93579,284 Main St,Company 50,Support,Analyst,inactive,B,SMB,91,36,30,0.272,0.32,0.54,44963.2,31360.13,13603.07,30.3,71,4,1.9,1421,2026-07-05,181,1753,15.1,4.37,enterprise,FALSE,TRUE,low,LATAM,mobile,referral,campaign_1,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,1
16,Paul,Smith,paul.smith16@example.com,+1-555-7389,2008-04-13,2024-07-02,AU,OR,Portland,80545,766 Main St,Company 48,Engineering,Director,active,B,Mid,62,3,49,0.336,0.679,0.404,47194.34,24514.87,22679.47,48.1,85,26,2.9,261,2026-07-20,137,221,82.6,6.12,free,TRUE,FALSE,low,LATAM,web,organic,campaign_5,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,1
17,Kira,Kim,kira.kim17@example.com,+1-555-7211,1982-06-25,2024-02-10,AU,OR,Portland,43065,855 Main St,Company 6,Support,Manager,pending,C,SMB,44,28,83,0.069,0.957,0.04,23280.27,12454.95,10825.32,46.5,16,30,2.0,1718,2026-07-01,160,1249,29.1,5.0,free,TRUE,FALSE,high,APAC,mobile,organic,campaign_10,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,0
18,Frank,Patel,frank.patel18@example.com,+1-555-6111,1995-10-30,2023-11-25,AU,OR,Portland,61990,965 Main St,Company 46,Engineering,Manager,pending,C,Enterprise,31,13,89,0.772,0.85,0.6,6296.84,2583.41,3713.43,59.0,62,25,4.9,1602,2026-07-02,89,4365,44.3,4.02,pro,TRUE,FALSE,medium,NA,mobile,paid,campaign_8,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,0
19,Nate,Garcia,nate.garcia19@example.com,+1-555-5425,1997-08-18,2024-04-07,IN,OR,Portland,73372,477 Main St,Company 28,Marketing,Engineer,active,A,Mid,57,31,96,0.465,0.61,0.379,36955.97,29054.4,7901.57,21.4,15,15,4.4,372,2026-07-16,55,2907,73.8,3.73,pro,TRUE,TRUE,low,EMEA,store,paid,campaign_8,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,0
20,Paul,Lopez,paul.lopez20@example.com,+1-555-5820,1979-12-10,2023-02-19,DE,OR,Portland,50135,680 Main St,Company 38,Marketing,Director,pending,C,Mid,54,95,70,0.331,0.703,0.271,22960.55,9342.59,13617.96,59.3,129,7,1.5,394,2026-07-11,31,4390,86.1,7.06,basic,TRUE,FALSE,medium,APAC,web,organic,campaign_5,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,0
